Created,Caller Postcode,Noise type,Sr_Num,Enq_Type
19/09/2017 00:07,LS6 3,SHOUTING,OutofHours,OutofHours
18/09/2017 23:46,LS6 3,MUSIC,OutofHours,OutofHours
18/09/2017 23:23,LS6 1,MUSIC,OutofHours,OutofHours
18/09/2017 23:08,LS6 1,MUSIC,OutofHours,OutofHours
18/09/2017 22:48,LS8 3,DIY,OutofHours,OutofHours
18/09/2017 22:44,LS6 1,PARTY,OutofHours,OutofHours
18/09/2017 22:34,LS6 1,MUSIC,OutofHours,OutofHours
18/09/2017 22:30,LS3 1,SHOUTING,OutofHours,OutofHours
18/09/2017 20:39,LS9 6,DOG BARKING,OutofHours,OutofHours
18/09/2017 19:49,LS7 4,TV,OutofHours,OutofHours
18/09/2017 07:53,LS13 4,MUSIC,OutofHours,OutofHours
18/09/2017 05:11,LS72,MUSIC,OutofHours,OutofHours
18/09/2017 01:36,LS6 1,SHOUTING,OutofHours,OutofHours
18/09/2017 01:19,LS8 2,ALARM,OutofHours,OutofHours
18/09/2017 00:46,LS1 2,MUSIC,OutofHours,OutofHours
18/09/2017 00:31,LS10 4,SHOUTING,OutofHours,OutofHours
18/09/2017 00:22,LS28 7,SHOUTING,OutofHours,OutofHours
17/09/2017 23:58,LS6 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
17/09/2017 23:42,LS6 3,MUSIC,OutofHours,OutofHours
17/09/2017 23:21,LS18 4,MUSIC,OutofHours,OutofHours
17/09/2017 22:46,LS8 5,MUSIC,OutofHours,OutofHours
17/09/2017 22:09,LS7 4,TV,OutofHours,OutofHours
17/09/2017 21:49,LS6 1,MUSIC,OutofHours,OutofHours
17/09/2017 21:44,LS9 7,MUSIC,OutofHours,OutofHours
17/09/2017 21:39,LS14 5,MUSIC,OutofHours,OutofHours
17/09/2017 21:13,LS13 4,MUSIC,OutofHours,OutofHours
17/09/2017 21:03,LS6 1,MUSIC,OutofHours,OutofHours
17/09/2017 20:25,LS8 3,MUSIC,OutofHours,OutofHours
17/09/2017 19:45,LS9 6,MUSIC,OutofHours,OutofHours
17/09/2017 19:11,LS7 4,TV,OutofHours,OutofHours
17/09/2017 18:34,LS27 7,MUSIC,OutofHours,OutofHours
17/09/2017 18:03,LS16 6,MUSIC,OutofHours,OutofHours
17/09/2017 17:39,LS14 5,MUSIC,OutofHours,OutofHours
17/09/2017 16:42,LS9 9,MUSIC,OutofHours,OutofHours
17/09/2017 11:51,LS14 1,MUSIC,OutofHours,OutofHours
17/09/2017 05:06,LS134,MUSIC,OutofHours,OutofHours
