Created,Caller,Postcode,Type of Noise Causing a Nuisance,Sr_Num,Enq_Type
12/04/2020,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
12/04/2020,LS14,LS14 5,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS11,LS11 0,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS13,LS13 2,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
12/04/2020,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS3,LS3 1,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS3,LS3 1,PARTY,Out ofHours,Out ofHours
12/04/2020,LS9,LS9 7,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS4,LS4 2,PARTY,Out ofHours,Out ofHours
12/04/2020,LS6,LS6 2,SHOUTING,Out ofHours,Out ofHours
12/04/2020,LS12,LS12 4,DIY,Out ofHours,Out ofHours
12/04/2020,LS9,LS9 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
12/04/2020,LS3,LS3 1,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS11,LS11 0,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS10,LS10 1,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS12,LS12 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
12/04/2020,LS27,LS27 9,OTHER,Out ofHours,Out ofHours
12/04/2020,LS7,LS7 4,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS9,LS9 6,TV,Out ofHours,Out ofHours
12/04/2020,LS8,LS8 3,MUSIC,Out ofHours,Out ofHours
13/04/2020,LS11,LS11 0,PARTY,Out ofHours,Out ofHours
13/04/2020,LS5,LS5 3,MUSIC,Out ofHours,Out ofHours
13/04/2020,LS6,LS6 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
13/04/2020,LS10,LS10 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
13/04/2020,LS14,LS14 5,TV,Out ofHours,Out ofHours
13/04/2020,LS17,LS17 5,MUSIC,Out ofHours,Out ofHours
13/04/2020,LS12,LS12 5,SHOUTING,Out ofHours,Out ofHours
13/04/2020,LS6,LS6 2,MUSIC,Out ofHours,Out ofHours
13/04/2020,LS15,LS15 9,DIY,Out ofHours,Out ofHours
13/04/2020,LS27,LS27 9,SHOUTING,Out ofHours,Out ofHours
13/04/2020,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
13/04/2020,LS8,LS8 5,SHOUTING,Out ofHours,Out ofHours
13/04/2020,LS14,LS14 1,PARTY,Out ofHours,Out ofHours
13/04/2020,LS9,LS9 6,MUSIC,Out ofHours,Out ofHours
13/04/2020,LS17,LS17 6,SHOUTING,Out ofHours,Out ofHours
13/04/2020,LS12,LS12 2,MUSIC,Out ofHours,Out ofHours
13/04/2020,LS9,LS9 9,SHOUTING,Out ofHours,Out ofHours
13/04/2020,LS27,LS27 9,OTHER,Out ofHours,Out ofHours
13/04/2020,LS14,LS14 5,OTHER,Out ofHours,Out ofHours
13/04/2020,LS6,LS6 2,SHOUTING,Out ofHours,Out ofHours
14/04/2020,LS9,LS9 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
14/04/2020,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
