Created,Caller Postcode,Accused,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
11-May-24,LS28 ,LS28 8,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 4,Dog Barking,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6,Dog Barking,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 1,Shouting,Out ofHours,Out ofHours
11-May-24,LS11 ,LS11 7,Loud Music,Out ofHours,Out ofHours
11-May-24,LS19 ,LS19 7,Loud Music,Out ofHours,Out ofHours
11-May-24,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
11-May-24,LS9 ,LS9 8,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
11-May-24,LS17 ,LS17 5,Loud Music,Out ofHours,Out ofHours
11-May-24,LS14 ,LS14 5,Loud Music,Out ofHours,Out ofHours
11-May-24,LS11 ,LS11 6,Shouting,Out ofHours,Out ofHours
11-May-24,LS17 ,LS17 7,Loud Music,Out ofHours,Out ofHours
11-May-24,LS7 ,LS7 2,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
11-May-24,LS10,LS10,Building Site,Out ofHours,Out ofHours
11-May-24,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
11-May-24,LS14 ,LS14 6,TV,Out ofHours,Out ofHours
11-May-24,LS21 ,LS21 1,Loud Music,Out ofHours,Out ofHours
11-May-24,LS10 ,LS10,Party,Out ofHours,Out ofHours
11-May-24,WF3 ,WF3 1,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6,Party,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 2,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
11-May-24,LS27 ,LS27 8,Loud Music,Out ofHours,Out ofHours
11-May-24,LS16 ,LS16 8,Loud Music,Out ofHours,Out ofHours
11-May-24,LS16 ,LS16 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
11-May-24,LS18 ,LS18,Loud Music,Out ofHours,Out ofHours
11-May-24,LS18 ,LS18,Dog Barking,Out ofHours,Out ofHours
11-May-24,LS22 ,LS22 6,Dog Barking,Out ofHours,Out ofHours
11-May-24,LS17 ,LS17 7,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 3,Shouting,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
11-May-24,LS22 ,LS22 6,Dog Barking,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
11-May-24,LS2 ,LS2,Loud Music,Out ofHours,Out ofHours
11-May-24,LS7 ,LS7 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
11-May-24,LS26 ,LS26,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
11-May-24,LS25 ,LS25 2,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6,Party,Out ofHours,Out ofHours
11-May-24,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 1,Party,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
11-May-24,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
11-May-24,LS12 ,LS3 1,Loud Music,Out ofHours,Out ofHours
11-May-24,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
11-May-24,LS15 ,LS15 9,Loud Music,Out ofHours,Out ofHours
