Created,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
08/09/2024,LS11 ,LS11 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
08/09/2024,LS15 ,LS15,TV,Out ofHours,Out ofHours
08/09/2024,LS7 ,LS7 1,Loud Music,Out ofHours,Out ofHours
09/09/2024,LS10 ,LS10 4,Loud Music,Out ofHours,Out ofHours
09/09/2024,LS27 ,LS27 9,Loud Music,Out ofHours,Out ofHours
09/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
09/09/2024,LS19 ,LS19 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
09/09/2024,LS12 ,LS12 5,Dog Barking,Out ofHours,Out ofHours
09/09/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
09/09/2024,LS13 ,LS13 2,Dog Barking,Out ofHours,Out ofHours
09/09/2024,LS13 ,LS13 2,Shouting,Out ofHours,Out ofHours
09/09/2024,LS11 ,LS11 5,Shouting,Out ofHours,Out ofHours
09/09/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
09/09/2024,LS12 ,LS12 4,Loud Music,Out ofHours,Out ofHours
10/09/2024,LS3 ,LS3 1,Shouting,Out ofHours,Out ofHours
10/09/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
10/09/2024,LS6 ,LS6 1,Alarm,Out ofHours,Out ofHours
10/09/2024,LS15 ,LS15 4,Loud Music,Out ofHours,Out ofHours
10/09/2024,LS10 ,LS10 7,Dog Barking,Out ofHours,Out ofHours
10/09/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
10/09/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
10/09/2024,LS10 ,LS10 4,TV,Out ofHours,Out ofHours
10/09/2024,LS8 ,LS8,Loud Music,Out ofHours,Out ofHours
10/09/2024,LS10 ,LS10 3,DIY,Out ofHours,Out ofHours
11/09/2024,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
11/09/2024,LS19 ,LS19 7,Loud Music,Out ofHours,Out ofHours
11/09/2024,LS16 ,LS16 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
11/09/2024,LS11 ,LS11 5,TV,Out ofHours,Out ofHours
11/09/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
11/09/2024,LS12 ,LS12 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
11/09/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
11/09/2024,LS19,LS19 7,Dog Barking,Out ofHours,Out ofHours
11/09/2024,LS10 ,LS10 4,TV,Out ofHours,Out ofHours
11/09/2024,LS14,LS14 2,Party,Out ofHours,Out ofHours
11/09/2024,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
11/09/2024,LS7 ,LS7 3,Shouting,Out ofHours,Out ofHours
11/09/2024,LS6,LS6,Loud Music,Out ofHours,Out ofHours
11/09/2024,LS5 ,LS5 3,TV,Out ofHours,Out ofHours
12/09/2024,LS8 ,LS8 2,Loud Music,Out ofHours,Out ofHours
12/09/2024,LS17 ,LS17 5,Loud Music,Out ofHours,Out ofHours
12/09/2024,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
12/09/2024,LS19,LS19 7,Dog Barking,Out ofHours,Out ofHours
12/09/2024,LS9 ,LS9 7,Party,Out ofHours,Out ofHours
12/09/2024,LS10,LS10 4,TV,Out ofHours,Out ofHours
12/09/2024,LS6 ,LS6 3,Party,Out ofHours,Out ofHours
12/09/2024,LS10,LS10 4,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
12/09/2024,LS11,LS11 9,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
12/09/2024,LS7 ,LS7 4,Loud Music,Out ofHours,Out ofHours
13/09/2024,LS6 ,LS6 3,Party,Out ofHours,Out ofHours
13/09/2024,LS12,LS12 1,Loud Music,Out ofHours,Out ofHours
13/09/2024,LS1,LS1,Building Site,Out ofHours,Out ofHours
13/09/2024,LS6,LS6,Loud Music,Out ofHours,Out ofHours
13/09/2024,LS9 ,LS9 9,Shouting,Out ofHours,Out ofHours
13/09/2024,LS25 ,LS25 ,Loud Music,Out ofHours,Out ofHours
13/09/2024,LS10 ,LS10 4,TV,Out ofHours,Out ofHours
13/09/2024,LS11 ,LS11 7,Party,Out ofHours,Out ofHours
13/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
13/09/2024,LS7 ,LS7 4,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
13/09/2024,LS6 ,LS6 1,Party,Out ofHours,Out ofHours
13/09/2024,LS25 ,LS25 1,Party,Out ofHours,Out ofHours
13/09/2024,LS6 ,LS6 2,Loud Music,Out ofHours,Out ofHours
13/09/2024,LS6 ,LS6 1,Shouting,Out ofHours,Out ofHours
13/09/2024,LS6 ,LS6 1,Party,Out ofHours,Out ofHours
13/09/2024,LS12 ,LS12 1,Loud Music,Out ofHours,Out ofHours
14/09/2024,LS12 ,LS12 3,Loud Music,Out ofHours,Out ofHours
14/09/2024,LS6 ,LS6 2,Loud Music,Out ofHours,Out ofHours
14/09/2024,LS12 ,LS12,Party,Out ofHours,Out ofHours
14/09/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
14/09/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
14/09/2024,LS6 ,LS6 2,Loud Music,Out ofHours,Out ofHours
14/09/2024,LS9 ,LS9 7,Shouting,Out ofHours,Out ofHours
14/09/2024,LS6 ,LS6 1,Alarm,Out ofHours,Out ofHours
14/09/2024,LS16 ,LS16 7,Loud Music,Out ofHours,Out ofHours
14/09/2024,LS7 ,LS7 2,Dog Barking,Out ofHours,Out ofHours
14/09/2024,LS12 ,LS12,Party,Out ofHours,Out ofHours
14/09/2024,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
14/09/2024,LS8 ,LS8 4,Party,Out ofHours,Out ofHours
14/09/2024,LS1 ,LS1 6,Loud Music,Out ofHours,Out ofHours
14/09/2024,LS12 ,LS12 4,Loud Music,Out ofHours,Out ofHours
14/09/2024,LS13 ,LS13 2,Shouting,Out ofHours,Out ofHours
14/09/2024,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
14/09/2024,LS7 ,LS7 1,Party,Out ofHours,Out ofHours
14/09/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
14/09/2024,LS26 ,LS26 0,Shouting,Out ofHours,Out ofHours
14/09/2024,LS28 ,LS28 9,Loud Music,Out ofHours,Out ofHours
14/09/2024,LS8 ,LS8 4,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS6 ,LS6 2,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS18 ,LS18 5,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS9 ,LS9 7,Shouting,Out ofHours,Out ofHours
15/09/2024,LS4 ,LS4 2,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS16 ,LS16 6,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS8 ,LS8 4,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS7 ,LS7 4,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS7 ,LS7 3,DIY,Out ofHours,Out ofHours
15/09/2024,LS9 ,LS9 9,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
15/09/2024,LS19 ,LS19 7,Alarm,Out ofHours,Out ofHours
15/09/2024,LS12 ,LS12 2,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS12 ,LS12 2,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS26 ,LS26 0,TV,Out ofHours,Out ofHours
15/09/2024,LS13 ,LS13 2,Shouting,Out ofHours,Out ofHours
15/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS13 ,LS13 2,Shouting,Out ofHours,Out ofHours
15/09/2024,LS17 ,LS17 7,TV,Out ofHours,Out ofHours
15/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS14 ,LS14 5,Shouting,Out ofHours,Out ofHours
15/09/2024,LS11 ,LS11 6,Loud Music,Out ofHours,Out ofHours
15/09/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
16/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
16/09/2024,LS10 ,LS10 4,Loud Music,Out ofHours,Out ofHours
16/09/2024,LS13 ,LS13 3,Loud Music,Out ofHours,Out ofHours
16/09/2024,LS12 ,LS12 5,Loud Music,Out ofHours,Out ofHours
16/09/2024,LS28 ,LS28 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
16/09/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
16/09/2024,LS25 ,LS25 1,Loud Music,Out ofHours,Out ofHours
16/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
16/09/2024,LS11 ,LS11 5,Loud Music,Out ofHours,Out ofHours
16/09/2024,LS13 ,LS13 4,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
16/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
16/09/2024,LS11 ,LS11 5,Loud Music,Out ofHours,Out ofHours
16/09/2024,LS7 ,LS7 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
16/09/2024,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
16/09/2024,LS6 ,LS6 3,Shouting,Out ofHours,Out ofHours
16/09/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
