Created,Caller ,Noise Postcode,Type of Noise Causing a Nuisance,Sr_Num,Enq Type
04/07/2021,LS11,LS11 5,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 2,ALARM,Out ofHours,Out ofHours
04/07/2021,LS16,LS16 6,TV,Out ofHours,Out ofHours
04/07/2021,LS11,LS11 7,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS9,LS9 9,SHOUTING,Out ofHours,Out ofHours
04/07/2021,WF3,WF3 2,PARTY,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS8,LS8 5,SHOUTING,Out ofHours,Out ofHours
04/07/2021,LS27,LS27 7,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS11,LS11 8,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS12,LS12 1,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
04/07/2021,LS11,LS11 8,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS8,LS8 5,SHOUTING,Out ofHours,Out ofHours
05/07/2021,LS4,LS4 2,MUSIC,Out ofHours,Out ofHours
05/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
05/07/2021,LS6,LS6 4,OTHER,Out ofHours,Out ofHours
05/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
05/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
05/07/2021,LS2,LS2 8,SHOUTING,Out ofHours,Out ofHours
05/07/2021,LS6,LS6 2,ALARM,Out ofHours,Out ofHours
05/07/2021,LS13,LS13 2,MUSIC,Out ofHours,Out ofHours
05/07/2021,LS9,LS9 6,MUSIC,Out ofHours,Out ofHours
05/07/2021,LS13,LS13 4,ALARM,Out ofHours,Out ofHours
05/07/2021,LS7,LS7 3,DOG BARKING,Out ofHours,Out ofHours
05/07/2021,LS27,LS27 9,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
05/07/2021,LS6,LS6 2,ALARM,Out ofHours,Out ofHours
05/07/2021,LS6,LS6 2,ALARM,Out ofHours,Out ofHours
05/07/2021,LS8,LS8 5,OTHER,Out ofHours,Out ofHours
05/07/2021,LS9,LS9 7,MUSIC,Out ofHours,Out ofHours
05/07/2021,LS8,LS8 5,SHOUTING,Out ofHours,Out ofHours
05/07/2021,LS16,LS16 7,MUSIC,Out ofHours,Out ofHours
05/07/2021,LS12,LS12 2,MUSIC,Out ofHours,Out ofHours
05/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
05/07/2021,LS2,LS2 8,SHOUTING,Out ofHours,Out ofHours
05/07/2021,LS26,LS26 0,MUSIC,Out ofHours,Out ofHours
05/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
05/07/2021,LS6,LS6 1,TV,Out ofHours,Out ofHours
05/07/2021,LS8,LS8 5,SHOUTING,Out ofHours,Out ofHours
05/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
05/07/2021,LS4,LS4 2,MUSIC,Out ofHours,Out ofHours
05/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
05/07/2021,LS9,LS9 7,SHOUTING,Out ofHours,Out ofHours
06/07/2021,LS13,LS13 4,PARTY,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
06/07/2021,LS2,LS2 8,SHOUTING,Out ofHours,Out ofHours
06/07/2021,LS2,LS2 8,SHOUTING,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS2,LS2 9,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS7,LS7 2,SHOUTING,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 2,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 4,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS27,LS27 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
06/07/2021,LS27,LS27 9,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 2,ALARM,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS3,LS3 1,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS8,LS8 2,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 2,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
06/07/2021,LS11,LS11 6,DOG BARKING,Out ofHours,Out ofHours
06/07/2021,LS14,LS14 5,SHOUTING,Out ofHours,Out ofHours
06/07/2021,LS10,LS10 3,SHOUTING,Out ofHours,Out ofHours
06/07/2021,LS14,LS14 6,PARTY,Out ofHours,Out ofHours
06/07/2021,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 2,PARTY,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
07/07/2021,LS14,LS14 1,BUILDING SITE,Out ofHours,Out ofHours
07/07/2021,LS25,LS25 1,MUSIC,Out ofHours,Out ofHours
07/07/2021,LS4,LS4 2,PARTY,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 2,TV,Out ofHours,Out ofHours
07/07/2021,LS9,LS9 8,SHOUTING,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
07/07/2021,LS4,LS4 2,SHOUTING,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
07/07/2021,LS26,LS26 8,SHOUTING,Out ofHours,Out ofHours
07/07/2021,LS9,LS9 6,BUILDING SITE,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
07/07/2021,LS12,LS12 1,PARTY,Out ofHours,Out ofHours
07/07/2021,LS20,LS20 9,ALARM,Out ofHours,Out ofHours
07/07/2021,LS8,LS8 5,OTHER,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 2,PARTY,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
07/07/2021,LS17,LS17 7,MUSIC,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
07/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
08/07/2021,LS27,LS27 0,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 3,SHOUTING,Out ofHours,Out ofHours
08/07/2021,LS14,LS14 2,OTHER,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,,Out ofHours,Out ofHours
