Created1,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
15/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS16,LS16 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
15/06/2023,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
15/06/2023,LS8,LS8 5,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
14/06/2023,LS9,LS9 7,LOUD MUSIC,Out ofHours,Out ofHours
14/06/2023,LS11,LS11 0,SHOUTING,Out ofHours,Out ofHours
14/06/2023,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
14/06/2023,LS14,LS14 6,LOUD MUSIC,Out ofHours,Out ofHours
14/06/2023,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
14/06/2023,LS8,LS8 5,LOUD MUSIC,Out ofHours,Out ofHours
14/06/2023,LS12,LS12 3,LOUD MUSIC,Out ofHours,Out ofHours
14/06/2023,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
14/06/2023,LS12,LS12 1,LOUD MUSIC,Out ofHours,Out ofHours
14/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
14/06/2023,LS16,LS16 8,PARTY,Out ofHours,Out ofHours
14/06/2023,LS10,LS10 4,LOUD MUSIC,Out ofHours,Out ofHours
14/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
14/06/2023,LS11,LS11 9,LOUD MUSIC,Out ofHours,Out ofHours
14/06/2023,LS12,LS12 2,LOUD MUSIC,Out ofHours,Out ofHours
14/06/2023,WF3,WF3 1,ALARM,Out ofHours,Out ofHours
14/06/2023,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
14/06/2023,WF3,WF3 3,DIY,Out ofHours,Out ofHours
14/06/2023,LS11,LS11 9,LOUD MUSIC,Out ofHours,Out ofHours
14/06/2023,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
14/06/2023,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
14/06/2023,LS13,LS13 2,LOUD MUSIC,Out ofHours,Out ofHours
14/06/2023,LS6,LS6 3,SHOUTING,Out ofHours,Out ofHours
14/06/2023,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
14/06/2023,LS12,LS12 1,OTHER,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS15,LS15 0,OTHER,Out ofHours,Out ofHours
13/06/2023,LS9,LS9 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 3,ALARM,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS10,LS10 4,DOG BARKING,Out ofHours,Out ofHours
13/06/2023,LS7,LS7 2,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS9,LS9 7,OTHER,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS12,LS12 2,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS10,LS10 3,PARTY,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS20,LS20 9,SHOUTING,Out ofHours,Out ofHours
13/06/2023,LS10,LS10 3,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS14,LS14 5,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS13,LS13 4,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 1,DIY,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 3,ALARM,Out ofHours,Out ofHours
13/06/2023,LS6 ,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,BD11,BD11 1,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS9,LS9 8,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS17,LS17 6,ALARM,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS27,LS27 9,SHOUTING,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
13/06/2023,LS9,LS9 7,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS12,LS12 3,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS11,LS11 7,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS14,LS14 1,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS10,LS10 3,LOUD MUSIC,Out ofHours,Out ofHours
13/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
12/06/2023,LS17,LS17 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
12/06/2023,LS12,LS12 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
12/06/2023,LS13 ,LS13 4,ALARM,Out ofHours,Out ofHours
12/06/2023,LS15,LS15 8,ALARM,Out ofHours,Out ofHours
12/06/2023,LS12,LS12 1,LOUD MUSIC,Out ofHours,Out ofHours
12/06/2023,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
12/06/2023,LS11,LS11 7,SHOUTING,Out ofHours,Out ofHours
12/06/2023,LS12,LS12 1,LOUD MUSIC,Out ofHours,Out ofHours
