Created,post code,Noise type,Sr_Num,Enq_Type
18/03/2017 03:09,LS12 2,MUSIC,OutofHours,OutofHours
18/03/2017 03:05,LS8 3,MUSIC,OutofHours,OutofHours
18/03/2017 02:35,LS4 2,PARTY,OutofHours,OutofHours
18/03/2017 02:30,LS6 1,PARTY,OutofHours,OutofHours
18/03/2017 02:27,LS6 1,PARTY,OutofHours,OutofHours
18/03/2017 02:00,LS14 6,PARTY,OutofHours,OutofHours
18/03/2017 01:52,LS6 1,PARTY,OutofHours,OutofHours
18/03/2017 01:13,LS4 2,PARTY,OutofHours,OutofHours
18/03/2017 01:07,LS7 4,SHOUTING,OutofHours,OutofHours
18/03/2017 01:01,LS9 0,MUSIC,OutofHours,OutofHours
18/03/2017 00:58,LS9 6,MUSIC,OutofHours,OutofHours
18/03/2017 00:55,LS6 2,PARTY,OutofHours,OutofHours
18/03/2017 00:50,LS11 6,MUSIC,OutofHours,OutofHours
18/03/2017 00:45,LS14 1,PARTY,OutofHours,OutofHours
18/03/2017 00:43,LS5 3,PARTY,OutofHours,OutofHours
18/03/2017 00:34,LS6 1,PARTY,OutofHours,OutofHours
18/03/2017 00:30,LS4 2,PARTY,OutofHours,OutofHours
18/03/2017 00:21,LS7 1,DIY,OutofHours,OutofHours
18/03/2017 00:15,LS8 1,PARTY,OutofHours,OutofHours
17/03/2017 23:44,LS11 6,MUSIC,OutofHours,OutofHours
17/03/2017 23:21,LS16 7,MUSIC,OutofHours,OutofHours
17/03/2017 23:15,LS17 7,MUSIC,OutofHours,OutofHours
17/03/2017 22:45,LS2 9,PARTY,OutofHours,OutofHours
17/03/2017 22:36,LS13 2,MUSIC,OutofHours,OutofHours
17/03/2017 22:12,LS6 1,MUSIC,OutofHours,OutofHours
17/03/2017 21:45,LS8 3,SHOUTING,OutofHours,OutofHours
17/03/2017 21:33,LS8 5,MUSIC,OutofHours,OutofHours
17/03/2017 20:57,LS4 2,MUSIC,OutofHours,OutofHours
17/03/2017 20:54,WF3 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
17/03/2017 18:58,LS11 6,MUSIC,OutofHours,OutofHours
17/03/2017 10:09,LS8 1,MUSIC,OutofHours,OutofHours
17/03/2017 07:06,LS6 1,MUSIC,OutofHours,OutofHours
17/03/2017 05:39,LS11 O,MUSIC,OutofHours,OutofHours
17/03/2017 04:40,LS6 1,MUSIC,OutofHours,OutofHours
17/03/2017 03:10,LS8 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
17/03/2017 02:37,LS8 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
17/03/2017 01:55,LS27 9,MUSIC,OutofHours,OutofHours
17/03/2017 01:08,LS9 7,SHOUTING,OutofHours,OutofHours
16/03/2017 23:24,LS6 1,MUSIC,OutofHours,OutofHours
16/03/2017 22:39,LS9 6,SHOUTING,OutofHours,OutofHours
16/03/2017 22:20,LS12 2,MUSIC,OutofHours,OutofHours
16/03/2017 21:34,LS9 7,SHOUTING,OutofHours,OutofHours
16/03/2017 20:38,LS9 8,MUSIC,OutofHours,OutofHours
16/03/2017 20:08,LS14 1,MUSIC,OutofHours,OutofHours
16/03/2017 18:29,LS10 2,MUSIC,OutofHours,OutofHours
16/03/2017 18:14,Ls9 7,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
16/03/2017 08:21,LS14 1,MUSIC,OutofHours,OutofHours
16/03/2017 03:07,LS6 3,PARTY,OutofHours,OutofHours
16/03/2017 02:18,LS4 2,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
16/03/2017 02:09,LS6 3,PARTY,OutofHours,OutofHours
15/03/2017 23:58,LS8 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
15/03/2017 23:51,LS17 5,OTHER,OutofHours,OutofHours
15/03/2017 23:23,LS4 2,MUSIC,OutofHours,OutofHours
15/03/2017 23:18,LS8 2,DOG BARKING,OutofHours,OutofHours
15/03/2017 22:56,LS11 7,MUSIC,OutofHours,OutofHours
15/03/2017 22:40,LS9 6,MUSIC,OutofHours,OutofHours
15/03/2017 22:40,LS5 3,MUSIC,OutofHours,OutofHours
15/03/2017 21:10,LS13 4,MUSIC,OutofHours,OutofHours
15/03/2017 20:07,LS9 7,MUSIC,OutofHours,OutofHours
15/03/2017 19:43,LS14 6,MUSIC,OutofHours,OutofHours
15/03/2017 18:36,WF3 3,MUSIC,OutofHours,OutofHours
15/03/2017 18:28,Ls6 4,MUSIC,OutofHours,OutofHours
15/03/2017 18:15,LS11 6,MUSIC,OutofHours,OutofHours
15/03/2017 04:49,LS27 9,TV,OutofHours,OutofHours
15/03/2017 03:13,LS27 9,MUSIC,OutofHours,OutofHours
15/03/2017 01:39,LS6 3,MUSIC,OutofHours,OutofHours
15/03/2017 00:37,LS1 5,MUSIC,OutofHours,OutofHours
