Created,Caller Postcode ,Noise Type,Sr_Num ,Enq_type
13/05/2019,LS17 7,NOISE ASSOCIATED WITH LICENSED PREMISES,OutofHours ,OutofHours 
13/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
13/05/2019,LS18 4,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
13/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
13/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
13/05/2019,LS15 8,MUSIC,OutofHours ,OutofHours 
13/05/2019,LS16 6,BUILDING SITE,OutofHours ,OutofHours 
13/05/2019,LS8 3,MUSIC,OutofHours ,OutofHours 
13/05/2019,LS13 4,MUSIC,OutofHours ,OutofHours 
13/05/2019,LS7 2,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
13/05/2019,LS9 6,MUSIC,OutofHours ,OutofHours 
13/05/2019,LS9 7,MUSIC,OutofHours ,OutofHours 
13/05/2019,LS4 2,PARTY,OutofHours ,OutofHours 
13/05/2019,LS6 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
14/05/2019,LS9 7,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
14/05/2019,LS7 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
14/05/2019,LS13 2,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS6 4,ALARM,OutofHours ,OutofHours 
14/05/2019,LS14 1,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS26 8,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS9 7,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS9 6,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS9 6,PARTY,OutofHours ,OutofHours 
14/05/2019,LS13 4,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS28 9,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS15 0,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS17 5,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS6 3,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS6 1,ALARM,OutofHours ,OutofHours 
14/05/2019,LS6 4,ALARM,OutofHours ,OutofHours 
14/05/2019,LS11 6,SHOUTING,OutofHours ,OutofHours 
14/05/2019,LS8 5,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS13 1,MUSIC,OutofHours ,OutofHours 
14/05/2019,LS12 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
14/05/2019,LS11 0,SHOUTING,OutofHours ,OutofHours 
14/05/2019,LS12 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
15/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS6 1,PARTY,OutofHours ,OutofHours 
15/05/2019,LS4 2,DOG BARKING,OutofHours ,OutofHours 
15/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS7 3,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS9 6,SHOUTING,OutofHours ,OutofHours 
15/05/2019,LS6 2,PARTY,OutofHours ,OutofHours 
15/05/2019,LS6 1,SHOUTING,OutofHours ,OutofHours 
15/05/2019,LS6 3,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS6 2,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS7 3,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS6 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
15/05/2019,LS11 8,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS11 0,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS11 0,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS7 2,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS7 2,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS7 4,MUSIC,OutofHours ,OutofHours 
