Created,Caller Postcode,Noise type
19/06/2017 19:50,LS28 7,MUSIC
19/06/2017 09:29,LS27 9,DOG BARKING
19/06/2017 07:44,LS17 S,BANGING ON WALLS/CEILING/FLOOR
19/06/2017 03:28,LS9 6,SHOUTING
19/06/2017 03:19,LS6 3,MUSIC
19/06/2017 03:16,LS7 2,SHOUTING
19/06/2017 02:55,LS6 1,PARTY
19/06/2017 02:53,LS6 3,MUSIC
19/06/2017 02:40,LS6 3,MUSIC
19/06/2017 02:08,LS14 6,MUSIC
19/06/2017 01:14,LS9 6,MUSIC
19/06/2017 00:39,LS11 9,SHOUTING
19/06/2017 00:17,LS15 8,MUSIC
19/06/2017 00:12,LS10 1,MUSIC
18/06/2017 23:57,LS13 2,SHOUTING
18/06/2017 23:44,LS8 2,MUSIC
18/06/2017 23:25,LS11 5,MUSIC
18/06/2017 23:19,LS6 1,SHOUTING
18/06/2017 23:00,LS9 6,SHOUTING
18/06/2017 22:57,LS9 6,MUSIC
18/06/2017 22:54,LS12 5,SHOUTING
18/06/2017 22:45,LS15 8,MUSIC
18/06/2017 22:42,LS9 9,MUSIC
18/06/2017 22:39,LS5 3,MUSIC
18/06/2017 21:13,LS19 7,ALARM
18/06/2017 21:04,LS11 5,PARTY
18/06/2017 19:54,LS28 8,SHOUTING
18/06/2017 19:46,LS14 5,
18/06/2017 19:31,LS13 4,MUSIC
18/06/2017 19:05,LS27 8,MUSIC
18/06/2017 18:55,LS13 1,MUSIC
18/06/2017 18:45,LS20 9,ALARM
18/06/2017 18:35,LS7 4,TV
18/06/2017 18:32,LS3 1,ALARM
18/06/2017 18:24,LS28 8,MUSIC
18/06/2017 18:15,LS4 9,MUSIC
18/06/2017 18:04,LS1 4,MUSIC
18/06/2017 17:58,LS8 3,MUSIC
18/06/2017 17:53,LS8 1,MUSIC
18/06/2017 17:48,LS8 3,MUSIC
18/06/2017 15:28,LS7 2,MUSIC
18/06/2017 13:17,#VALUE!,PARTY
18/06/2017 13:15,LS17 8,BANGING ON WALLS/CEILING/FLOOR
18/06/2017 13:01,LS17 S,OTHER
18/06/2017 12:24,LS17 S,BANGING ON WALLS/CEILING/FLOOR
18/06/2017 12:22,LS8 1,BANGING ON WALLS/CEILING/FLOOR
18/06/2017 11:16,BRACKWOOD DRI,BANGING ON WALLS/CEILING/FLOOR
18/06/2017 09:17,LS10 4,DOG BARKING
18/06/2017 08:52,LS23 6,BUILDING SITE
18/06/2017 07:41,LS26 0,MUSIC
18/06/2017 07:33,LS4 2,PARTY
18/06/2017 06:09,LS12 4,PARTY
18/06/2017 05:07,LS12 1,MUSIC
18/06/2017 04:55,LS8 1,BANGING ON WALLS/CEILING/FLOOR
18/06/2017 04:47,#VALUE!,MUSIC
18/06/2017 03:07,LS4 2,PARTY
18/06/2017 02:40,LS12 4,MUSIC
18/06/2017 02:31,LS13 2,MUSIC
18/06/2017 02:27,LS11 6,MUSIC
18/06/2017 02:14,LS26 0,MUSIC
18/06/2017 02:09,LS12 5,MUSIC
18/06/2017 02:04,LS7 4,PARTY
18/06/2017 01:44,LS7 4,PARTY
18/06/2017 01:33,LS13 3,MUSIC
18/06/2017 01:14,LS7 4,MUSIC
18/06/2017 01:10,LS14 6,MUSIC
18/06/2017 01:07,LS1 6,OTHER
18/06/2017 01:02,LS7 1,SHOUTING
18/06/2017 00:56,LS18 5,PARTY
18/06/2017 00:53,LS6 1,MUSIC
18/06/2017 00:42,#VALUE!,MUSIC
18/06/2017 00:31,LS10 3,MUSIC
18/06/2017 00:26,LS12 4,MUSIC
18/06/2017 00:23,LS11 0,MUSIC
18/06/2017 00:19,LS9 7,OTHER
18/06/2017 00:13,LS13 2,MUSIC
18/06/2017 00:10,LS12 1,PARTY
18/06/2017 00:07,LS14 5,PARTY
18/06/2017 00:04,LS11 0,MUSIC
17/06/2017 23:57,LS8 5,SHOUTING
17/06/2017 23:52,LS5 3,PARTY
17/06/2017 23:48,LS5 3,MUSIC
17/06/2017 23:42,LS14 1,MUSIC
17/06/2017 23:34,LS12 5,MUSIC
17/06/2017 23:31,LS25 7,SHOUTING
17/06/2017 23:17,LS12 5,MUSIC
17/06/2017 23:08,LS8 4,MUSIC
17/06/2017 23:05,LS8 3,MUSIC
17/06/2017 22:50,LS12 5,MUSIC
17/06/2017 22:35,LS27 0,MUSIC
17/06/2017 22:29,LS26 8,SHOUTING
17/06/2017 22:24,LS18 5,PARTY
17/06/2017 22:17,LS13 4,MUSIC
17/06/2017 22:12,LS8 3,MUSIC
17/06/2017 22:08,LS28 6,PARTY
17/06/2017 22:05,LS12 5,PARTY
17/06/2017 21:59,LS8 5,MUSIC
17/06/2017 21:55,LS12 5,MUSIC
17/06/2017 21:48,LS21 3,MUSIC
17/06/2017 21:35,LS5 3,PARTY
17/06/2017 21:14,LS6 2,MUSIC
17/06/2017 20:49,LS8 4,PARTY
17/06/2017 20:16,LS27 0,MUSIC
17/06/2017 19:55,LS25 3,OTHER
17/06/2017 19:52,LS8 5,PARTY
17/06/2017 19:40,LS14 5,MUSIC
17/06/2017 19:16,LS16 5,MUSIC
17/06/2017 19:02,LS13 2,NOISE ASSOCIATED WITH LICENSED PREMISES
17/06/2017 18:56,LS6 4,PARTY
17/06/2017 18:55,LS13 2,MUSIC
17/06/2017 18:46,WF3 2,MUSIC
17/06/2017 18:34,LS9 0,MUSIC
17/06/2017 18:32,LS15 4,MUSIC
17/06/2017 18:27,LS25 2,DOG BARKING
17/06/2017 18:20,LS27 8,MUSIC
17/06/2017 11:49,LS8 1,BANGING ON WALLS/CEILING/FLOOR
17/06/2017 11:39,LS6 1,OTHER
17/06/2017 10:37,LS,BANGING ON WALLS/CEILING/FLOOR
17/06/2017 08:32,L,MUSIC
17/06/2017 04:45,LS6 1,MUSIC
17/06/2017 03:51,LS8 1,BANGING ON WALLS/CEILING/FLOOR
