Date,Occurrence,Postcode,Sr_Num,Enq_Type,,,
10/04/2013,Music,LS2 9,OutofHours,OutofHours,,,
10/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
10/04/2013,Music,LS6 3,OutofHours,OutofHours,,,
10/04/2013,Music,LS6 3,OutofHours,OutofHours,,,
10/04/2013,Music,LS8 4,OutofHours,OutofHours,,,
10/04/2013,TV,LS11 8,OutofHours,OutofHours,,,
10/04/2013,TV,LS7 2,OutofHours,OutofHours,,,
10/04/2013,Other,LS11 6,OutofHours,OutofHours,,,
11/04/2013,Barking Dog,LS21 2,OutofHours,OutofHours,,,
11/04/2013,DIY,LS11 6,OutofHours,OutofHours,,,
11/04/2013,Other,LS8 1,OutofHours,OutofHours,,,
11/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
11/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
11/04/2013,Music,LS11 8,OutofHours,OutofHours,,,
11/04/2013,Music,LS14 6,OutofHours,OutofHours,,,
11/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
11/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
11/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
11/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
11/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
11/04/2013,Party,LS12 3,OutofHours,OutofHours,,,
11/04/2013,Party,LS6 1,OutofHours,OutofHours,,,
12/04/2013,Barking Dog,LS9 6,OutofHours,OutofHours,,,
12/04/2013,Other,LS8 4,OutofHours,OutofHours,,,
12/04/2013,Other,LS9 7,OutofHours,OutofHours,,,
12/04/2013,Music,BD11 1,OutofHours,OutofHours,,,
12/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
12/04/2013,Music,LS12 3,OutofHours,OutofHours,,,
12/04/2013,Music,LS13 2,OutofHours,OutofHours,,,
12/04/2013,Music,LS15 0,OutofHours,OutofHours,,,
12/04/2013,Music,LS16 5,OutofHours,OutofHours,,,
12/04/2013,Music,LS27 8,OutofHours,OutofHours,,,
12/04/2013,Music,LS28 5,OutofHours,OutofHours,,,
12/04/2013,Music,LS3 1,OutofHours,OutofHours,,,
12/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
12/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
12/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
12/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
12/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
12/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
12/04/2013,Music,LS7 2,OutofHours,OutofHours,,,
12/04/2013,Music,LS8 5,OutofHours,OutofHours,,,
12/04/2013,Music,LS9 0,OutofHours,OutofHours,,,
12/04/2013,Music,LS9 6,OutofHours,OutofHours,,,
12/04/2013,Music,LS9 6,OutofHours,OutofHours,,,
12/04/2013,Music,LS9 6,OutofHours,OutofHours,,,
12/04/2013,Party,LS11 9,OutofHours,OutofHours,,,
12/04/2013,TV,LS17 8,OutofHours,OutofHours,,,
12/04/2013,TV,LS7 2,OutofHours,OutofHours,,,
13/04/2013,Alarm,LS8 2,OutofHours,OutofHours,,,
13/04/2013,Other,LS12 5,OutofHours,OutofHours,,,
13/04/2013,Other,LS12 5,OutofHours,OutofHours,,,
13/04/2013,Other,LS17 8,OutofHours,OutofHours,,,
13/04/2013,Music,LS10 3,OutofHours,OutofHours,,,
13/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
13/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
13/04/2013,Music,LS11 9,OutofHours,OutofHours,,,
13/04/2013,Music,LS11 9,OutofHours,OutofHours,,,
13/04/2013,Music,LS12 1,OutofHours,OutofHours,,,
13/04/2013,Music,LS12 1,OutofHours,OutofHours,,,
13/04/2013,Music,LS12 2,OutofHours,OutofHours,,,
13/04/2013,Music,LS13 2,OutofHours,OutofHours,,,
13/04/2013,Music,LS14 5,OutofHours,OutofHours,,,
13/04/2013,Music,LS15 8,OutofHours,OutofHours,,,
13/04/2013,Music,LS16 5,OutofHours,OutofHours,,,
13/04/2013,Music,LS16 5,OutofHours,OutofHours,,,
13/04/2013,Music,LS16 6,OutofHours,OutofHours,,,
13/04/2013,Music,LS16 6,OutofHours,OutofHours,,,
13/04/2013,Music,LS16 7,OutofHours,OutofHours,,,
13/04/2013,Music,LS16 7,OutofHours,OutofHours,,,
13/04/2013,Music,LS16 8,OutofHours,OutofHours,,,
13/04/2013,Music,LS17 5,OutofHours,OutofHours,,,
13/04/2013,Music,LS17 7,OutofHours,OutofHours,,,
13/04/2013,Music,LS26 0,OutofHours,OutofHours,,,
13/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
13/04/2013,Music,LS7 2,OutofHours,OutofHours,,,
13/04/2013,Music,LS8 1,OutofHours,OutofHours,,,
13/04/2013,Music,LS8 5,OutofHours,OutofHours,,,
13/04/2013,Music,LS8 5,OutofHours,OutofHours,,,
13/04/2013,Music,LS9 7,OutofHours,OutofHours,,,
13/04/2013,Music,LS9 7,OutofHours,OutofHours,,,
13/04/2013,Music,LS14 5,OutofHours,OutofHours,,,
13/04/2013,Music,LS14 6,OutofHours,OutofHours,,,
13/04/2013,Party,LS10 1,OutofHours,OutofHours,,,
13/04/2013,Party,LS6 1,OutofHours,OutofHours,,,
13/04/2013,Party,LS6 1,OutofHours,OutofHours,,,
13/04/2013,Party,LS6 2,OutofHours,OutofHours,,,
13/04/2013,Other,LS8 3,OutofHours,OutofHours,,,
13/04/2013,Other,LS28 5,OutofHours,OutofHours,,,
13/04/2013,TV,LS11 8,OutofHours,OutofHours,,,
13/04/2013,TV,LS11 8,OutofHours,OutofHours,,,
14/04/2013,Alarm,LS16 8,OutofHours,OutofHours,,,
14/04/2013,Alarm,LS2 7,OutofHours,OutofHours,,,
14/04/2013,Alarm,LS9 6,OutofHours,OutofHours,,,
14/04/2013,Other,LS13 3,OutofHours,OutofHours,,,
14/04/2013,DIY,WF3 2,OutofHours,OutofHours,,,
14/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
14/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
14/04/2013,Music,LS11 9,OutofHours,OutofHours,,,
14/04/2013,Music,LS12 6,OutofHours,OutofHours,,,
14/04/2013,Music,LS14 1,OutofHours,OutofHours,,,
14/04/2013,Music,LS14 6,OutofHours,OutofHours,,,
14/04/2013,Music,LS16 6,OutofHours,OutofHours,,,
14/04/2013,Music,LS17 5,OutofHours,OutofHours,,,
14/04/2013,Music,LS2 9,OutofHours,OutofHours,,,
14/04/2013,Music,LS20 9,OutofHours,OutofHours,,,
14/04/2013,Music,LS20 9,OutofHours,OutofHours,,,
14/04/2013,Music,LS27 8,OutofHours,OutofHours,,,
14/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
14/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
14/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
14/04/2013,Music,LS6 3,OutofHours,OutofHours,,,
14/04/2013,Music,LS7 4,OutofHours,OutofHours,,,
14/04/2013,Music,LS8 1,OutofHours,OutofHours,,,
14/04/2013,Music,LS8 5,OutofHours,OutofHours,,,
14/04/2013,Music,LS9 6,OutofHours,OutofHours,,,
14/04/2013,Music,LS9 7,OutofHours,OutofHours,,,
14/04/2013,Music,LS9 7,OutofHours,OutofHours,,,
14/04/2013,Music,LS9 7,OutofHours,OutofHours,,,
14/04/2013,Music,LS9 8,OutofHours,OutofHours,,,
14/04/2013,Music,WF3 1,OutofHours,OutofHours,,,
14/04/2013,Party,LS11 9,OutofHours,OutofHours,,,
14/04/2013,Party,LS2 8,OutofHours,OutofHours,,,
14/04/2013,Party,LS22 5,OutofHours,OutofHours,,,
14/04/2013,Party,LS28 5,OutofHours,OutofHours,,,
14/04/2013,Party,LS4 2,OutofHours,OutofHours,,,
14/04/2013,Party,LS9 8,OutofHours,OutofHours,,,
14/04/2013,TV,LS11 0,OutofHours,OutofHours,,,
15/04/2013,Other,LS27 7,OutofHours,OutofHours,,,
15/04/2013,Other,LS7 2,OutofHours,OutofHours,,,
15/04/2013,Music,LS11 8,OutofHours,OutofHours,,,
15/04/2013,Music,LS13 2,OutofHours,OutofHours,,,
15/04/2013,Music,LS16 6,OutofHours,OutofHours,,,
15/04/2013,Music,LS16 6,OutofHours,OutofHours,,,
15/04/2013,Music,LS2 9,OutofHours,OutofHours,,,
15/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
15/04/2013,Music,LS6 3,OutofHours,OutofHours,,,
15/04/2013,Music,LS8 5,OutofHours,OutofHours,,,
15/04/2013,Music,LS9 6,OutofHours,OutofHours,,,
15/04/2013,Music,LS9 7,OutofHours,OutofHours,,,
15/04/2013,Music,LS9 7,OutofHours,OutofHours,,,
15/04/2013,Music,LS5 3,OutofHours,OutofHours,,,
15/04/2013,Music,LS5 3,OutofHours,OutofHours,,,
15/04/2013,TV,LS8 1,OutofHours,OutofHours,,,
16/04/2013,Other,LS27 8,OutofHours,OutofHours,,,
16/04/2013,Other,LS6 3,OutofHours,OutofHours,,,
16/04/2013,Music,LS1 6,OutofHours,OutofHours,,,
16/04/2013,Music,LS11 8,OutofHours,OutofHours,,,
16/04/2013,Music,LS13 1,OutofHours,OutofHours,,,
16/04/2013,Music,LS14 1,OutofHours,OutofHours,,,
16/04/2013,Music,LS14 6,OutofHours,OutofHours,,,
16/04/2013,Music,LS16 6,OutofHours,OutofHours,,,
16/04/2013,Music,LS2 9,OutofHours,OutofHours,,,
16/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
16/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
16/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
16/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
16/04/2013,Music,LS6 3,OutofHours,OutofHours,,,
16/04/2013,Music,LS7 2,OutofHours,OutofHours,,,
16/04/2013,Party,LS6 3,OutofHours,OutofHours,,,
16/04/2013,TV,LS14 1,OutofHours,OutofHours,,,
16/04/2013,Other,,OutofHours,OutofHours,,,
17/04/2013,Barking Dog,LS12 5,OutofHours,OutofHours,,,
17/04/2013,DIY,LS12 5,OutofHours,OutofHours,,,
17/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
17/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
17/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
17/04/2013,Music,LS12 2,OutofHours,OutofHours,,,
17/04/2013,Music,LS14 1,OutofHours,OutofHours,,,
17/04/2013,Music,LS14 1,OutofHours,OutofHours,,,
17/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
17/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
17/04/2013,Music,LS8 3,OutofHours,OutofHours,,,
17/04/2013,Party,LS12 2,OutofHours,OutofHours,,,
17/04/2013,Other,,OutofHours,OutofHours,,,
18/04/2013,Alarm,LS22 5,OutofHours,OutofHours,,,
18/04/2013,Barking Dog,LS14 1,OutofHours,OutofHours,,,
18/04/2013,Other,LS18 4,OutofHours,OutofHours,,,
18/04/2013,Other,LS8 3,OutofHours,OutofHours,,,
18/04/2013,Music,LS11 6,OutofHours,OutofHours,,,
18/04/2013,Music,LS13 3,OutofHours,OutofHours,,,
18/04/2013,Music,LS13 3,OutofHours,OutofHours,,,
18/04/2013,Music,LS14 1,OutofHours,OutofHours,,,
18/04/2013,Music,LS14 6,OutofHours,OutofHours,,,
18/04/2013,Music,LS17 7,OutofHours,OutofHours,,,
18/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
18/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
18/04/2013,Music,LS7 2,OutofHours,OutofHours,,,
18/04/2013,Music,LS8 3,OutofHours,OutofHours,,,
18/04/2013,Music,LS8 5,OutofHours,OutofHours,,,
18/04/2013,Party,LS6 1,OutofHours,OutofHours,,,
18/04/2013,TV,LS10 4,OutofHours,OutofHours,,,
18/04/2013,TV,LS13 1,OutofHours,OutofHours,,,
18/04/2013,TV,LS13 1,OutofHours,OutofHours,,,
19/04/2013,Barking Dog,LS12 5,OutofHours,OutofHours,,,
19/04/2013,Barking Dog,,OutofHours,OutofHours,,,
19/04/2013,Music,LS10 1,OutofHours,OutofHours,,,
19/04/2013,Music,LS11 6,OutofHours,OutofHours,,,
19/04/2013,Music,LS14 1,OutofHours,OutofHours,,,
19/04/2013,Music,LS15 7,OutofHours,OutofHours,,,
