Created1,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
09/08/2022,LS8 ,LS8 1,SHOUTING,Out ofHours,Out ofHours
09/08/2022,LS10 ,LS10 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
09/08/2022,LS14 ,LS14 6,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS16 ,LS16 8,OTHER,Out ofHours,Out ofHours
09/08/2022,LS11 ,LS11 6,SHOUTING,Out ofHours,Out ofHours
09/08/2022,LS16 ,LS16 8,SHOUTING,Out ofHours,Out ofHours
09/08/2022,LS6 ,LS6 4,DOG BARKING,Out ofHours,Out ofHours
09/08/2022,BD11 ,BD11 1,DIY,Out ofHours,Out ofHours
09/08/2022,LS8 ,LS8 1,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS8 ,LS8 3,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS10 ,LS10 1,TV,Out ofHours,Out ofHours
09/08/2022,LS8 ,LS8 4,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS9 ,LS9 6,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS9 ,LS9 8,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS4 ,LS4 2,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS11 ,LS11 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
09/08/2022,LS16 ,LS16 6,DOG BARKING,Out ofHours,Out ofHours
09/08/2022,LS7 ,LS7 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
09/08/2022,LS12 ,LS12 2,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS9 ,LS9 6,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS8 ,LS8 1,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS7 ,LS7 4,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS10 ,LS10 3,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS12 ,LS12 5,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS10 ,LS10 3,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS12 ,LS12 2,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS9 ,LS9 6,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS10 ,LS10 3,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS28 ,LS28 7,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS6 ,LS6 2,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS7 ,LS7 4,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS11 ,LS11 0,SHOUTING,Out ofHours,Out ofHours
10/08/2022,LS8 ,LS8 3,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS17 ,LS17 6,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS11 ,LS11 6,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS11 ,LS11 0,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS25 ,LS25 7,DOG BARKING,Out ofHours,Out ofHours
10/08/2022,LS7 ,LS7 4,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS27 ,LS27 7,DOG BARKING,Out ofHours,Out ofHours
10/08/2022,LS26 ,LS26 0,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS9 ,LS9 8,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS11 ,LS11 8,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS11 ,LS11 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
10/08/2022,LS18 ,LS18 4,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS11 ,LS11 4,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS10 ,LS10 3,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS11 ,LS11 0,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS9 ,LS9 9,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
10/08/2022,LS26 ,LS26 0,MUSIC,Out ofHours,Out ofHours
