Created,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
19/07/2024,LS15 ,LS15 0,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS17 ,LS17 7,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS11 ,LS11 6,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS10 ,LS10 1,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS16 ,LS16 6,Dog Barking,Out ofHours,Out ofHours
19/07/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
19/07/2024,LS8 ,LS8 5,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS13 ,LS13 2,TV,Out ofHours,Out ofHours
19/07/2024,LS6 ,LS6 1,Alarm,Out ofHours,Out ofHours
19/07/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
19/07/2024,LS7 ,LS7 1,Shouting,Out ofHours,Out ofHours
19/07/2024,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS6 ,LS6 1,Party,Out ofHours,Out ofHours
20/07/2024,LS27 ,LS27 9,Party,Out ofHours,Out ofHours
20/07/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS6 ,LS6 3,Party,Out ofHours,Out ofHours
20/07/2024,LS9 ,LS9 7,DIY,Out ofHours,Out ofHours
20/07/2024,LS9 ,LS9 6,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
20/07/2024,LS8 ,LS8 3,Party,Out ofHours,Out ofHours
20/07/2024,BD4 ,BD4 9,DIY,Out ofHours,Out ofHours
20/07/2024,LS13 ,LS13 3,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS11 ,LS11 8,TV,Out ofHours,Out ofHours
20/07/2024,LS6 ,LS6 4,Party,Out ofHours,Out ofHours
20/07/2024,LS15 ,LS15 8,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS15 ,LS15 0,Alarm,Out ofHours,Out ofHours
20/07/2024,LS13 ,LS13 2,Shouting,Out ofHours,Out ofHours
20/07/2024,LS12 ,LS12 5,Party,Out ofHours,Out ofHours
20/07/2024,LS11 ,LS11,Dog Barking,Out ofHours,Out ofHours
20/07/2024,WF3 ,WF3 2,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS28 ,LS28 5,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS12 ,LS12 3,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS27 ,LS27 8,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS11 ,LS11 6,Party,Out ofHours,Out ofHours
20/07/2024,LS27 ,LS27,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS11 ,LS11 8,Loud Music,Out ofHours,Out ofHours
20/07/2024,WF3 ,WF3 3,Party,Out ofHours,Out ofHours
20/07/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS10 ,LS10 1,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS25,LS25 ,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS12 ,LS12,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
20/07/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
20/07/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS9 ,LS9 0,Shouting,Out ofHours,Out ofHours
20/07/2024,LS11,LS118,Loud Music,Out ofHours,Out ofHours
20/07/2024,LS13 ,LS13 2,TV,Out ofHours,Out ofHours
20/07/2024,WF3 ,WF3,Party,Out ofHours,Out ofHours
20/07/2024,LS11 ,LS11,Party,Out ofHours,Out ofHours
20/07/2024,LS14 ,LS14,Loud Music,Out ofHours,Out ofHours
21/07/2024,LS16 ,LS16,Party,Out ofHours,Out ofHours
21/07/2024,LS16 ,LS16 7,Party,Out ofHours,Out ofHours
21/07/2024,LS8 ,LS8,Loud Music,Out ofHours,Out ofHours
21/07/2024,LS10 ,LS10,Dog Barking,Out ofHours,Out ofHours
21/07/2024,LS7 ,LS7 2,Loud Music,Out ofHours,Out ofHours
21/07/2024,LS6 ,LS6 3,Party,Out ofHours,Out ofHours
21/07/2024,LS11 ,LS11 8,Party,Out ofHours,Out ofHours
21/07/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
21/07/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
21/07/2024,LS12 ,LS12,Loud Music,Out ofHours,Out ofHours
21/07/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
21/07/2024,LS14 ,LS14,Party,Out ofHours,Out ofHours
21/07/2024,LS17 ,LS17 6,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
21/07/2024,LS10 ,LS10 3,Shouting,Out ofHours,Out ofHours
21/07/2024,LS12 ,LS12 5,Loud Music,Out ofHours,Out ofHours
21/07/2024,LS11 ,LS11 5,TV,Out ofHours,Out ofHours
21/07/2024,LS10 ,LS10 2,Shouting,Out ofHours,Out ofHours
21/07/2024,LS13 ,LS13,Shouting,Out ofHours,Out ofHours
22/07/2024,LS11 ,LS11 5,Shouting,Out ofHours,Out ofHours
22/07/2024,LS17 ,LS17 7,Loud Music,Out ofHours,Out ofHours
22/07/2024,LS9 ,LS9 6,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
22/07/2024,LS4 ,LS4 2,Shouting,Out ofHours,Out ofHours
22/07/2024,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
22/07/2024,LS11 ,LS11 5,TV,Out ofHours,Out ofHours
22/07/2024,LS13 ,LS13 2,Shouting,Out ofHours,Out ofHours
22/07/2024,LS8 ,LS8,Loud Music,Out ofHours,Out ofHours
22/07/2024,LS11 ,LS11 0,Shouting,Out ofHours,Out ofHours
22/07/2024,LS7 ,LS7 4,Loud Music,Out ofHours,Out ofHours
22/07/2024,LS15 ,LS15 0,Loud Music,Out ofHours,Out ofHours
22/07/2024,LS8 ,LS8 2,Loud Music,Out ofHours,Out ofHours
23/07/2024,LS4 ,LS4 2,Loud Music,Out ofHours,Out ofHours
23/07/2024,LS28 ,LS28 2,Loud Music,Out ofHours,Out ofHours
23/07/2024,LS7 ,LS7 2,Loud Music,Out ofHours,Out ofHours
23/07/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
23/07/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
23/07/2024,LS13 ,LS13 2,TV,Out ofHours,Out ofHours
23/07/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
23/07/2024,LS14 ,LS14 1,Dog Barking,Out ofHours,Out ofHours
23/07/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
23/07/2024,LS13 ,LS13 3,Building Site,Out ofHours,Out ofHours
23/07/2024,LS27 ,LS27 9,Loud Music,Out ofHours,Out ofHours
23/07/2024,LS13 ,LS13,Dog Barking,Out ofHours,Out ofHours
23/07/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
23/07/2024,LS27 ,LS27 9,Shouting,Out ofHours,Out ofHours
23/07/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
23/07/2024,LS22 ,LS22 6,Dog Barking,Out ofHours,Out ofHours
23/07/2024,LS17 ,LS17 6,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
23/07/2024,LS7 ,LS7 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
23/07/2024,LS7 ,LS7 4,Loud Music,Out ofHours,Out ofHours
